aalib 1.4rc5-19
abseil-cpp 20260107.1-1
accountsservice 26.13.3-1
acl 2.3.2-2
ada 3.4.4-1
adwaita-cursors 50.0-1
adwaita-fonts 50.0-1
adwaita-icon-theme 50.0-1
adwaita-icon-theme-legacy 46.2-3
alsa-card-profiles 1:1.6.6-1
alsa-lib 1.2.15.3-2
alsa-plugins 1:1.2.12-5
alsa-tools 1.2.15-3
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.15.3-1
alsa-utils 1.2.15.2-2
aom 3.14.1-1
apg 2.2.3-5
apg-debug 2.2.3-5
appstream 1.1.2-1
aquamarine 0.11.0-2
archlinux-keyring 20260420-1
argon2 20190702-6
at-spi2-core 2.60.4-1
atkmm 2.28.5-1
attr 2.5.2-2
audit 4.1.4-2
autoconf 2.73-1
automake 1.18.1-1
avahi 1:0.9rc4-1
ayatana-ido 0.10.4-1
base 3-3
base-devel 1-2
bash 5.3.9-1
bibata-cursor-theme 2.0.7-1
binutils 2.46+r70+g155188ea10a7-1
bison 3.8.2-8
blueman 2.4.6-2
bluez 5.86-6
bluez-libs 5.86-6
bluez-utils 5.86-6
bmon 4.0-5
boost-libs 1.91.0-1
breeze-icons 6.26.0-1
brightnessctl 0.5.1-3
brotli 1.2.0-1
btop 1.4.7-1
bubblewrap 0.11.2-1
byobu 6.16-1
bzip2 1.0.8-6
c-ares 1.34.6-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.124-1
ca-certificates-utils 20240618-1
cage 0.3.0-1
cairo 1.18.4-1
cairomm 1.14.5-3
cairomm-1.16 1.18.0-2
cava 0.10.7-1
cbonsai 1.4.2-1
cbonsai-debug 1.4.2-1
ccze 0.2.1-13
ccze-debug 0.2.1-13
cdparanoia 10.2-9
chromaprint 1.6.0-3
clang 22.1.5-1
cliphist 1:0.7.0-2
clucene 2.3.3.4-17
cmatrix 2.0-4
compiler-rt 22.1.5-1
composefs 1.0.8-1
confuse 3.3-5
containerd 2.3.1-1
coreutils 9.11-1
cpio 2.15-3
cryptsetup 2.8.6-1
curl 8.20.0-7
dav1d 1.5.3-1
db5.3 5.3.28-7
dbus 1.16.2-1
